Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,AGUASCALIENTES,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,ASIENTOS,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,ASIENTOS,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,CALVILLO,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,CALVILLO,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,COSIO,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,COSIO,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,EL LLANO,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,EL LLANO,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,JESUS MARIA,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,JESUS MARIA,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,TEPEZALA,BAJÍO,27.78
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,TEPEZALA,BAJÍO,3.605
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2.388
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2.388
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,2.388
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,2.388
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2.388
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,3.637
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,3.637
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,3.637
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,3.637
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,53.58
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,3.637
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CALAKMUL,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CALAKMUL,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CALKINI,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CALKINI,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CAMPECHE,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CAMPECHE,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CANDELARIA,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CANDELARIA,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CARMEN,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CARMEN,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,CHAMPOTON,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,CHAMPOTON,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,ESCARCEGA,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,ESCARCEGA,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,HECELCHAKAN,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,HECELCHAKAN,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,HOPELCHEN,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,HOPELCHEN,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,PALIZADA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,PALIZADA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CAMPECHE,TENABO,PENINSULAR,41.06
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,TENABO,PENINSULAR,3.757
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ACACOYAGUA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACACOYAGUA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ACALA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACALA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ACAPETAHUA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACAPETAHUA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ALDAMA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ALDAMA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ALTAMIRANO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ALTAMIRANO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ANGEL ALBINO CORZO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ANGEL ALBINO CORZO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ARRIAGA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ARRIAGA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,BEJUCAL DE OCAMPO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,BEJUCAL DE OCAMPO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,BELLA VISTA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,BELLA VISTA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,BENEMERITO DE LAS AMERICAS,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,BENEMERITO DE LAS AMERICAS,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,BERRIOZABAL,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,BERRIOZABAL,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,BOCHIL,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,BOCHIL,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CACAHOATAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CACAHOATAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CATAZAJA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CATAZAJA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHALCHIHUITAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHALCHIHUITAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHAMULA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHAMULA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHANAL,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHANAL,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHAPULTENANGO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHAPULTENANGO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHENALHO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHENALHO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHIAPA DE CORZO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHIAPA DE CORZO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHIAPILLA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHIAPILLA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHICOASEN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHICOASEN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHICOMUSELO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHICOMUSELO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CHILON,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CHILON,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,CINTALAPA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,CINTALAPA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,COAPILLA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,COAPILLA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,COMITAN DE DOMINGUEZ,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,COMITAN DE DOMINGUEZ,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,COPAINALA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,COPAINALA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,EL BOSQUE,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,EL BOSQUE,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,EL PORVENIR,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,EL PORVENIR,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ESCUINTLA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ESCUINTLA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,FRANCISCO LEON,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,FRANCISCO LEON,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,FRONTERA COMALAPA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,FRONTERA COMALAPA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,FRONTERA HIDALGO,SURESTE,58.51
