Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TUZANTAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TUZANTAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,TZIMOL,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,TZIMOL,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,UNION JUAREZ,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,UNION JUAREZ,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VENUSTIANO CARRANZA,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VENUSTIANO CARRANZA,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLA COMALTITLAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLA COMALTITLAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLA CORZO,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLA CORZO,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,VILLAFLORES,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,VILLAFLORES,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,YAJALON,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,YAJALON,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIAPAS,ZINACANTAN,SURESTE,58.51
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ZINACANTAN,SURESTE,3.62
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,AHUMADA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,AHUMADA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ALDAMA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ALDAMA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ALLENDE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ALLENDE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,AQUILES SERDAN,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,AQUILES SERDAN,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ASCENSION,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ASCENSION,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,BACHINIVA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,BACHINIVA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,BALLEZA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,BALLEZA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,BATOPILAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,BATOPILAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,BOCOYNA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,BOCOYNA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,BUENAVENTURA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,BUENAVENTURA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CAMARGO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CAMARGO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CARICHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CARICHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CASAS GRANDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CASAS GRANDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CHIHUAHUA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CHIHUAHUA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CHINIPAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CHINIPAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CORONADO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CORONADO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,COYAME DEL SOTOL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,COYAME DEL SOTOL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CUAUHTEMOC,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CUAUHTEMOC,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,CUSIHUIRIACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,CUSIHUIRIACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,DELICIAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,DELICIAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,DR. BELISARIO DOMINGUEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,DR. BELISARIO DOMINGUEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,EL TULE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,EL TULE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GALEANA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GALEANA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GOMEZ FARIAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GOMEZ FARIAS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GRAN MORELOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GRAN MORELOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GUACHOCHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GUACHOCHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GUADALUPE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GUADALUPE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GUADALUPE Y CALVO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GUADALUPE Y CALVO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GUAZAPARES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GUAZAPARES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,GUERRERO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,GUERRERO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,HIDALGO DEL PARRAL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,HIDALGO DEL PARRAL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,HUEJOTITAN,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,HUEJOTITAN,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,IGNACIO ZARAGOZA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,IGNACIO ZARAGOZA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,JANOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,JANOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,JIMENEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,JIMENEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,JUAREZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,JUAREZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,JULIMES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,JULIMES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,LA CRUZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,LA CRUZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,LOPEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,LOPEZ,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MADERA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MADERA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MAGUARICHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MAGUARICHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MANUEL BENAVIDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MANUEL BENAVIDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MATACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MATACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MATAMOROS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MATAMOROS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MEOQUI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MEOQUI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MORELOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MORELOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,MORIS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,MORIS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,NAMIQUIPA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,NAMIQUIPA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,NONOAVA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,NONOAVA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,NUEVO CASAS GRANDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,NUEVO CASAS GRANDES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,OCAMPO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,OCAMPO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,OJINAGA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,OJINAGA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,PRAXEDIS G. GUERRERO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,PRAXEDIS G. GUERRERO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,RIVA PALACIO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,RIVA PALACIO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ROSALES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ROSALES,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ROSARIO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ROSARIO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SANTA BARBARA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SANTA BARBARA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SANTA ISABEL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SANTA ISABEL,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SATEVO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SATEVO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAUCILLO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAUCILLO,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,TEMOSACHIC,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,TEMOSACHIC,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,URIQUE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,URIQUE,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,URUACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,URUACHI,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Fijo,$/mes,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,
PDBT,Pequeña demanda baja tensión hasta 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,
